
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  4.825E+06 4.438E-01 1.300E-07 1.300E-07 1.443E-02 3.126E+07 2.211E+06 7.472E+09 6.985E+01
  4.925E+06 3.985E-01 1.300E-07 1.300E-07 1.791E-02 2.528E+07 2.009E+06 8.307E+09 6.985E+01
  5.025E+06 3.578E-01 1.300E-07 1.300E-07 2.221E-02 2.046E+07 1.842E+06 9.234E+09 6.985E+01
  5.125E+06 3.217E-01 1.300E-07 1.300E-07 2.752E-02 1.656E+07 1.702E+06 1.026E+10 6.985E+01
  5.225E+06 2.894E-01 1.300E-07 1.300E-07 3.408E-02 1.341E+07 1.572E+06 1.138E+10 6.985E+01
  5.325E+06 2.603E-01 1.300E-07 1.300E-07 4.218E-02 1.087E+07 1.447E+06 1.263E+10 6.985E+01
  5.425E+06 2.338E-01 1.300E-07 1.300E-07 5.215E-02 8.823E+06 1.323E+06 1.404E+10 6.985E+01
  5.525E+06 2.097E-01 1.300E-07 1.300E-07 6.443E-02 7.165E+06 1.197E+06 1.563E+10 6.985E+01
  5.625E+06 1.879E-01 1.300E-07 1.300E-07 7.959E-02 5.806E+06 1.067E+06 1.743E+10 6.985E+01
  5.725E+06 1.682E-01 1.300E-07 1.300E-07 9.838E-02 4.683E+06 9.359E+05 1.951E+10 6.985E+01
  5.825E+06 1.496E-01 1.300E-07 1.300E-07 1.217E-01 3.771E+06 8.128E+05 2.197E+10 6.985E+01
  5.925E+06 1.319E-01 1.300E-07 1.300E-07 1.506E-01 3.044E+06 7.052E+05 2.493E+10 6.985E+01
  6.025E+06 1.156E-01 1.300E-07 1.300E-07 1.863E-01 2.460E+06 6.109E+05 2.845E+10 6.985E+01
  6.125E+06 1.008E-01 1.300E-07 1.300E-07 2.305E-01 1.989E+06 5.280E+05 3.264E+10 6.985E+01
  6.225E+06 8.744E-02 1.300E-07 1.300E-07 2.851E-01 1.608E+06 4.560E+05 3.762E+10 6.985E+01
  6.325E+06 7.553E-02 1.300E-07 1.300E-07 3.526E-01 1.300E+06 3.941E+05 4.354E+10 6.985E+01
  6.425E+06 6.499E-02 1.300E-07 1.300E-07 4.361E-01 1.051E+06 3.411E+05 5.061E+10 6.985E+01
  6.525E+06 5.571E-02 1.300E-07 1.300E-07 5.394E-01 8.499E+05 2.960E+05 5.904E+10 6.985E+01
  6.625E+06 4.759E-02 1.300E-07 1.300E-07 6.670E-01 6.873E+05 2.575E+05 6.912E+10 6.985E+01
  6.725E+06 4.052E-02 1.300E-07 1.300E-07 8.248E-01 5.558E+05 2.248E+05 8.118E+10 6.985E+01
  6.825E+06 3.440E-02 1.300E-07 1.300E-07 1.020E+00 4.495E+05 2.101E+05 9.561E+10 6.985E+01
  6.925E+06 2.919E-02 1.300E-07 1.300E-07 1.261E+00 3.636E+05 2.101E+05 1.127E+11 6.985E+01
  7.025E+06 2.457E-02 1.300E-07 1.300E-07 1.559E+00 2.941E+05 2.101E+05 1.339E+11 6.985E+01
  7.125E+06 2.014E-02 1.300E-07 1.300E-07 1.927E+00 2.379E+05 2.101E+05 1.633E+11 6.985E+01
  7.225E+06 1.568E-02 1.300E-07 1.300E-07 2.382E+00 1.924E+05 2.101E+05 2.098E+11 6.985E+01
  7.325E+06 1.132E-02 1.300E-07 1.300E-07 2.944E+00 1.557E+05 2.101E+05 2.905E+11 6.985E+01
  7.425E+06 7.480E-03 1.300E-07 1.300E-07 3.639E+00 1.260E+05 2.101E+05 4.397E+11 6.985E+01
  7.525E+06 4.486E-03 1.300E-07 1.300E-07 4.498E+00 1.019E+05 2.101E+05 7.332E+11 6.985E+01
  7.625E+06 2.422E-03 1.300E-07 1.300E-07 5.558E+00 8.248E+04 2.101E+05 1.358E+12 6.985E+01
  7.725E+06 1.163E-03 1.300E-07 1.300E-07 6.868E+00 6.674E+04 2.101E+05 2.827E+12 6.985E+01
  7.825E+06 4.905E-04 1.300E-07 1.300E-07 8.487E+00 5.401E+04 2.101E+05 6.706E+12 6.985E+01
  7.925E+06 1.796E-04 1.300E-07 1.300E-07 1.049E+01 4.372E+04 2.101E+05 1.832E+13 6.985E+01
