
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 1.478E-04 1.300E-07 1.300E-07 1.097E-06 6.996E+11 5.891E+06 1.721E+13 5.457E+01
  1.250E+05 1.590E-04 1.300E-07 1.300E-07 1.243E-06 6.052E+11 5.662E+06 1.615E+13 5.457E+01
  2.250E+05 2.037E-04 1.300E-07 1.300E-07 1.413E-06 5.212E+11 5.421E+06 1.274E+13 5.457E+01
  3.250E+05 2.696E-04 1.300E-07 1.300E-07 1.610E-06 4.471E+11 5.184E+06 9.735E+12 5.457E+01
  4.250E+05 3.495E-04 1.300E-07 1.300E-07 1.842E-06 3.811E+11 4.926E+06 7.606E+12 5.457E+01
  5.250E+05 4.402E-04 1.300E-07 1.300E-07 2.114E-06 3.223E+11 4.643E+06 6.129E+12 5.457E+01
  6.250E+05 5.398E-04 1.300E-07 1.300E-07 2.438E-06 2.701E+11 4.337E+06 5.083E+12 5.457E+01
  7.250E+05 6.467E-04 1.300E-07 1.300E-07 2.829E-06 2.240E+11 4.014E+06 4.326E+12 5.457E+01
  8.250E+05 7.583E-04 1.300E-07 1.300E-07 3.306E-06 1.836E+11 3.686E+06 3.769E+12 5.457E+01
  9.250E+05 8.698E-04 1.300E-07 1.300E-07 3.897E-06 1.488E+11 3.361E+06 3.363E+12 5.457E+01
  1.025E+06 1.001E-03 1.300E-07 1.300E-07 4.639E-06 1.190E+11 3.809E+06 2.995E+12 5.457E+01
  1.125E+06 1.304E-03 1.300E-07 1.300E-07 5.572E-06 9.623E+10 9.583E+06 2.333E+12 5.457E+01
  1.225E+06 2.138E-03 1.300E-07 1.300E-07 6.705E-06 7.948E+10 1.670E+07 1.427E+12 5.457E+01
  1.325E+06 3.733E-03 1.300E-07 1.300E-07 8.079E-06 6.552E+10 3.502E+07 8.200E+11 5.457E+01
  1.425E+06 6.517E-03 1.300E-07 1.300E-07 9.748E-06 5.387E+10 4.754E+07 4.715E+11 5.457E+01
